BASK,BBID,BTC_Before,BTC_imbalance,BuyVol,BuyVolBTC,DateTime,Imbalance,SellVol,SellVolBTC,VWAP_before,mid_px,mid_px_0.925,mid_px_0.95,mid_px_0.97,mid_px_0.99,mid_px_0.9925,mid_px_0.995,mid_px_0.996,mid_px_0.997,mid_px_0.998,mid_px_0.999,mid_px_1.001,mid_px_1.002,mid_px_1.003,mid_px_1.004,mid_px_1.005,mid_px_1.0075,mid_px_1.01,mid_px_1.03,mid_px_1.05,mid_px_1.075,mid_px_amt_0.925,mid_px_amt_0.95,mid_px_amt_0.97,mid_px_amt_0.99,mid_px_amt_0.9925,mid_px_amt_0.995,mid_px_amt_0.996,mid_px_amt_0.997,mid_px_amt_0.998,mid_px_amt_0.999,mid_px_amt_1.001,mid_px_amt_1.002,mid_px_amt_1.003,mid_px_amt_1.004,mid_px_amt_1.005,mid_px_amt_1.0075,mid_px_amt_1.01,mid_px_amt_1.03,mid_px_amt_1.05,mid_px_amt_1.075,CCY,target,BTC_VolImbal,VolImbal,Spread
0.4721,0.4708,12251.043429716929,0.9742549596821373,220216.29999999996,33.46130300000001,2019-06-26 00:22:13.158120,0.008642699263928156,93556.61999999997,37.59825599999998,0.47127280977460007,0.47145000000000004,0.44721666666666665,0.45244074074074064,0.4618734693877552,0.46730000000000005,0.4683857142857143,0.4692,0.4699,,0.4708,,,0.4722,0.4725,0.47315,0.47345,0.4744571428571428,0.47551111111111105,0.4802649122807017,0.48712941176470587,,764.86,95420.95000000004,190146.63999999996,57940.57,74795.48000000001,5462.08,224.93,0.0,2902.53,0.0,0.0,9511.65,828.03,6757.18,26961.62,37526.979999999996,137411.58,132183.87999999998,13445.02,0.0,IOTA,-1,0.8899695507153318,2.353829157145695,0.0013000000000000234
271.58,271.45,9069.885479190905,0.40613909539814586,718.3563600000002,43.836145,2019-06-16 04:49:36.686670,0.12425978953510046,735.5153299999996,46.11956699999999,271.5023283262792,271.515,,,268.4534615384615,269.13782608695647,269.7738095238095,270.305,270.52000000000004,270.9266666666667,271.07888888888886,271.3833333333333,271.695,271.89000000000004,272.21500000000003,272.4811111111111,272.7666666666667,273.19814814814816,273.86375,,,,0.0,0.0,58.920739999999995,103.80794,276.03317,31.353419999999996,49.83989,11.65408,63.37719,75.98578,25.952470000000005,45.62067,2.36947,41.327909999999996,113.03652,72.81609,31.240779999999997,0.0,0.0,0.0,ENDRI,-1,0.9504890841668139,0.9766708193560025,0.12999999999999545
464.32,463.84,12251.207365430588,0.8406802860099403,300.8253700000001,19.954703999999992,2019-06-26 17:21:53.154378,-0.10654914789248882,447.6141800000001,51.06709200000001,464.04905272673875,464.08,,449.19181818181823,454.77724137931034,459.87999999999994,461.1716666666667,462.06333333333333,462.475,462.93999999999994,463.35714285714283,463.835,464.3666666666666,464.99,465.165,465.53,466.0725,467.445,468.2,473.27437499999996,481.6717647058823,,0.0,72.14136,177.11700000000005,81.61711,63.77915999999999,9.24475,31.42971,116.52976,8.14008,3.7190600000000003,4.8763000000000005,0.97,17.01489,0.25386,9.3294,0.12240000000000001,2.66869,415.59812999999997,112.69899000000002,0.0,BCH,-1,0.3907546566387604,0.6720639859979414,0.4800000000000182
501.72,501.09,10806.399946966629,0.82192822369791,384.38323999999983,54.22516900000003,2019-06-22 14:21:08.385113,0.917059715904695,1050.7782599999996,9.856715,501.56678752091176,501.405,,,492.6006666666666,497.065,498.3433333333333,499.37,499.53,500.02833333333325,500.48,501.055,501.8025,502.052,,503.01,503.77,504.51875,505.99875,511.8621428571428,519.6241379310345,,0.0,0.0,492.41054,20.93172,30.52766,1.077,0.802,9.979700000000001,0.02716,241.75476,4.517320000000001,8.34672,0.0,7.43201,1.022,31.454710000000002,54.90779,355.2881299999999,131.50648999999999,0.0,BCH,-1,5.501342891622618,0.36580813919770283,0.6300000000000523
296.94,296.77,11555.823486245547,0.22104490715663355,406.9174800000001,26.975432000000005,2019-06-29 00:01:37.270083,0.20427906088422368,793.7705000000001,25.05622400000001,296.7678638681261,296.855,,,,,295.1275675675675,295.51062499999995,295.8382352941176,296.0685714285714,296.36857142857144,296.71111111111105,296.9925,297.31874999999997,297.6609090909091,297.90250000000003,298.1530000000001,298.793,299.375,300.20956521739123,,,0.0,0.0,0.0,0.0,964.37094,82.31967999999999,46.38151,304.13773,40.59696,89.8085,14.37929,55.50676999999999,67.49821,85.63381999999999,46.098659999999995,123.38790999999999,31.208650000000002,171.89683000000002,0.0,0.0,ENDRI,-1,1.0765960585282122,0.5126387035043506,0.17000000000001592
355.18,355.05,13579.18930562133,0.6332474848360051,617.5429000000003,32.34144900000001,2019-06-26 13:05:25.567296,-0.6119103947729245,358.76558000000006,33.26860100000001,355.0963663465926,355.115,,,351.15551724137936,351.9512,352.905625,353.49375000000003,353.9125,354.2757142857143,354.6166666666666,354.96624999999995,355.24100000000004,355.6983333333333,355.98785714285714,356.30571428571426,356.73357142857145,357.33696969696973,357.7933333333333,,,,0.0,0.0,163.45495000000003,249.72785,82.72222,16.450290000000003,106.02313000000001,10.615829999999999,13.011450000000002,38.27831,68.22188,26.75458,38.760450000000006,103.99918,44.600549999999984,301.87436999999994,0.8932,0.0,0.0,0.0,ENDRI,-1,0.9721313198592271,1.7212991837176803,0.12999999999999545
0.4089,0.4079,11568.545368453091,0.1446393813828373,77191.39000000003,20.468807,2019-06-27 12:18:59.258097,-0.05880895868769398,155990.97,31.34087000000001,0.4089438720667423,0.4084,,0.39258709677419357,0.40048269230769223,0.40486666666666665,0.405825,0.40659999999999996,0.4068,0.4075,0.4078,,,0.40895,0.4094333333333333,0.4098,0.41025,0.411,0.41225,0.41636315789473693,0.42531290322580645,0.43331282051282044,0.0,44802.01,231508.19000000003,24967.63,4399.23,1401.6100000000001,791.58,4377.13,2502.6,0.0,0.0,417.06,11054.47,97.61,151.10999999999999,5787.18,2587.38,38335.61,47770.45,24203.809999999998,IOTA,-1,0.6531027058278853,0.49484524649087075,0.0010000000000000009
114.44,114.39,11800.014748631202,0.34962715186426846,842.4108800000002,12.251204000000003,2019-06-27 05:11:21.188184,0.5267474221936962,1686.6597299999999,81.07301600000001,114.45950550687256,114.41499999999999,,,112.96000000000001,113.40916666666665,113.69157894736841,113.90777777777777,114.00875,114.1175,114.24375,114.33999999999999,114.46000000000001,114.63,114.694,114.8125,114.9425,115.11299999999999,115.47,116.78561403508772,118.02555555555556,,0.0,0.0,725.12565,74.53831,502.67688,148.45784999999998,150.8587,40.376129999999996,85.1828,40.49987,17.93386,4.71365,57.292249999999996,122.89500000000001,77.76286,486.03729,89.26946,701.80956,951.51612,0.0,LTC,-1,0.15111321379730097,0.4994551449924048,0.04999999999999716
407.33,407.01,11129.389973160845,-0.8756047458950668,372.87963000000013,22.323233999999996,2019-06-27 12:58:44.161114,-0.187658536167736,308.07220000000024,33.95642499999999,407.487854425396,407.16999999999996,,394.74,398.4490625,403.54857142857145,404.9320000000001,405.185,405.66428571428577,406.14000000000004,406.53,406.9475,407.3725,407.82666666666665,408.055,408.49666666666667,409.06666666666666,409.6928571428572,410.49,415.3007692307692,422.94428571428574,430.31,0.0,47.13052,821.0900899999998,28.72078,11.582989999999999,16.907339999999998,73.70148,31.753009999999996,2.50719,7.169630000000001,5.4528099999999995,61.37109,5.44928,13.40823,6.07221,33.48998,20.82121,107.50622000000003,36.92397,547.7388600000002,BCH,-1,0.6574082518993093,1.2103644210675284,0.3199999999999932
118.56,118.4,11455.590000000002,0.5340859155121701,1175.3561499999998,5.6606900000000016,2019-06-27 12:19:38.771685,-0.019740408109028034,1440.26384,70.22440699999991,118.48543037765344,118.48,,,116.61454545454542,117.44142857142857,117.71583333333335,117.95124999999999,118.095,118.17666666666666,118.3175,118.385,118.57,118.64249999999998,118.76,118.945,119.0,119.21999999999998,119.5025,120.85328358208955,122.25699999999999,,0.0,0.0,2197.8142,111.23937,268.00908,201.25928,3.49696,24.918719999999997,41.73977,20.342950000000002,26.56633,36.894360000000006,68.07946000000001,10.72346,241.18601999999998,1.67629,75.54053,849.7710499999998,156.54008000000002,0.0,LTC,-1,0.0806085838503415,0.8160700264473764,0.1599999999999966
