BASK,BBID,BTC_Before,BTC_imbalance,BuyVol,BuyVolBTC,DateTime,Imbalance,SellVol,SellVolBTC,VWAP_before,mid_px,mid_px_0.95,mid_px_0.99,mid_px_0.9925,mid_px_0.995,mid_px_0.996,mid_px_0.997,mid_px_0.998,mid_px_0.999,mid_px_1.001,mid_px_1.002,mid_px_1.003,mid_px_1.004,mid_px_1.005,mid_px_1.0075,mid_px_1.01,mid_px_1.05,mid_px_amt_0.95,mid_px_amt_0.99,mid_px_amt_0.9925,mid_px_amt_0.995,mid_px_amt_0.996,mid_px_amt_0.997,mid_px_amt_0.998,mid_px_amt_0.999,mid_px_amt_1.001,mid_px_amt_1.002,mid_px_amt_1.003,mid_px_amt_1.004,mid_px_amt_1.005,mid_px_amt_1.0075,mid_px_amt_1.01,mid_px_amt_1.05,target
5.408e-05,5.403e-05,7770.736745762613,0.2781802671785895,59981,27.488572000000023,2019-06-06 22:15:11.727986,-0.7706397777386385,64355,15.699606999999991,5.40407532210109e-05,5.4054999999999997e-05,5.314766666666666e-05,5.358272727272728e-05,5.3715e-05,5.38075e-05,5.3866e-05,5.3905e-05,5.3975e-05,5.4025e-05,5.4084999999999995e-05,5.4145000000000004e-05,5.418e-05,5.4245e-05,,5.4392500000000005e-05,5.4526249999999997e-05,5.5097866666666666e-05,107033,79476,26884,2044,13707,1371,1151,2956,32459,7073,54,4538,0,7098,28246,547135,0
5.405e-05,5.403e-05,7779.177366603243,0.8504864135628398,59871,19.340042,2019-06-06 22:20:17.425001,-0.45838915373459954,63351,12.092912000000002,5.4077480510276395e-05,5.4040000000000004e-05,5.314620689655171e-05,5.356833333333334e-05,5.37e-05,5.379e-05,5.3847499999999996e-05,5.3895e-05,5.397e-05,5.401666666666667e-05,5.405e-05,,5.41775e-05,5.4227499999999995e-05,5.427e-05,5.438714285714286e-05,5.4495555555555565e-05,5.507391891891891e-05,105166,67896,22006,7613,4356,9790,1000,3535,5860,0,4667,7973,62,6712,27991,522478,0
5.416e-05,5.402e-05,7779.011845979937,0.4167441101696899,63066,16.601660999999986,2019-06-06 22:25:23.472355,-0.054384067225328396,65672,28.189449999999997,5.404449415413982e-05,5.4090000000000006e-05,5.314866666666667e-05,5.362333333333333e-05,5.374999999999999e-05,5.3842e-05,5.390000000000001e-05,5.395e-05,5.4010000000000006e-05,,,5.417e-05,5.423e-05,5.427e-05,5.4345e-05,5.4423333333333324e-05,5.454428571428572e-05,5.5107066666666666e-05,129660,55129,13329,987,17388,1833,2663,0,0,3020,4955,62,369,35049,8108,540560,0
5.417e-05,5.404e-05,7773.846457243685,0.5372983598990674,64831,16.435603000000004,2019-06-06 22:30:28.387443,-0.2966836018940284,64877,12.556360000000009,5.414396384764364e-05,5.4105e-05,5.320413793103448e-05,5.3634166666666655e-05,5.3765000000000004e-05,5.386e-05,5.3914e-05,5.396e-05,5.402e-05,,,5.4186666666666674e-05,5.4225000000000003e-05,5.428e-05,5.434999999999999e-05,5.4451249999999995e-05,5.4581428571428574e-05,5.5098750000000005e-05,105865,73477,10870,6620,14547,1393,3804,0,0,2869,428,1802,7282,31656,4569,537269,0
5.414e-05,5.404e-05,7762.532597071828,0.3684692975479529,65541,14.87066199999999,2019-06-06 22:35:33.108663,0.34020583897104234,64362,38.10166000000004,5.4079313725490195e-05,5.409e-05,5.3190344827586214e-05,5.36175e-05,5.374999999999999e-05,5.3842e-05,5.3895e-05,5.3954999999999994e-05,5.401666666666667e-05,5.404e-05,5.414e-05,5.4165e-05,5.4216666666666665e-05,5.428e-05,5.4345e-05,5.4416666666666663e-05,5.455e-05,5.507450704225352e-05,106270,67394,11865,23316,7508,14732,3758,419,64,3553,934,3284,5917,28252,4560,521082,0
5.41e-05,5.406e-05,7758.88721028707,-0.8143340610617434,65394,15.593652999999998,2019-06-06 22:40:37.833669,-0.18263519272325102,61063,12.262482999999989,5.407541019955653e-05,5.408e-05,5.319053571428571e-05,5.360499999999999e-05,5.373999999999999e-05,5.3830000000000005e-05,5.3889999999999994e-05,5.39425e-05,5.4004999999999995e-05,5.406e-05,5.4105e-05,5.4175e-05,5.422e-05,5.428e-05,5.433e-05,5.441e-05,5.4541428571428575e-05,5.508547945205479e-05,98049,74516,12944,24940,11197,5684,1267,12579,31994,1093,2737,1811,37,30784,4004,541873,0
5.41e-05,5.407e-05,7744.986952834369,0.41526565438052054,68946,22.20817400000002,2019-06-06 22:45:42.530194,-0.3341448989672677,57552,23.35492,5.412785398230089e-05,5.4085e-05,5.3168666666666665e-05,5.360818181818182e-05,5.3744999999999994e-05,5.383999999999999e-05,5.3889999999999994e-05,5.395333333333333e-05,5.4004999999999995e-05,5.4065000000000005e-05,5.4115e-05,5.4155e-05,5.422e-05,5.4283333333333336e-05,5.433e-05,5.4421000000000006e-05,5.455e-05,5.509164383561643e-05,93088,84559,13814,1656,16551,5178,1267,13773,29060,4036,2737,621,37,30549,3944,523849,0
5.413e-05,5.408e-05,7750.5163974453835,0.23534351165872544,88234,12.518138,2019-06-06 22:50:47.588229,-0.8378202875533425,55477,15.709607999999994,5.416530375426621e-05,5.4105e-05,5.3181355932203386e-05,5.362545454545454e-05,5.3765000000000004e-05,5.3859999999999996e-05,5.3907500000000005e-05,5.3975e-05,5.4010000000000006e-05,5.4075e-05,5.413e-05,5.4189999999999994e-05,5.4225000000000003e-05,5.429e-05,5.43525e-05,5.4446e-05,5.458500000000001e-05,5.510859154929578e-05,92977,82113,14039,9057,8030,7595,3099,1236,10251,19875,428,116,4678,7200,32823,529839,0
5.412e-05,5.408e-05,7754.383064506704,0.3311962320147328,86899,20.582022000000002,2019-06-06 22:55:52.391766,0.5048432176993419,58037,24.29630699999999,5.4127978723404254e-05,5.41e-05,5.319661016949152e-05,5.3623636363636365e-05,5.3754999999999996e-05,5.3854e-05,5.3905000000000007e-05,5.397e-05,5.4010000000000006e-05,5.4075e-05,5.412e-05,,5.4225000000000003e-05,5.4283333333333336e-05,5.4353333333333334e-05,5.444285714285715e-05,5.4578749999999996e-05,5.514223684210528e-05,108365,65395,16646,6837,5163,8586,1581,3614,341,0,754,1764,2932,1877,32823,533015,0
5.415e-05,5.413e-05,7754.309668165487,0.8270090511947031,86805,14.113531,2019-06-06 23:00:57.370714,-0.6321533697094859,58662,17.862450000000003,5.4137775991425495e-05,5.414e-05,5.3224333333333325e-05,5.3665384615384614e-05,5.379272727272727e-05,5.3889999999999994e-05,5.396e-05,5.4010000000000006e-05,5.40625e-05,5.4120000000000004e-05,5.416333333333333e-05,5.4225000000000003e-05,5.4279999999999995e-05,5.434e-05,5.438e-05,5.448333333333333e-05,5.461857142857143e-05,5.512271428571429e-05,93503,80485,13436,13167,4784,5983,2340,5371,33272,428,4818,363,6692,24082,8346,526850,0
